2016-01-04 16:01:48,773 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:01:48,774 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:01:52,635 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:01:52,637 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:01:52,638 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:01:52,639 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:02:45,924 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:02:45,926 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:02:45,936 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:02:45,937 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:03:33,870 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:03:33,871 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:03:33,881 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:03:33,882 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:03:57,615 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:03:57,616 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:03:57,619 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:03:57,620 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:04:12,082 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:04:12,084 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:04:12,091 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:04:12,092 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:04:31,838 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:04:31,840 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:04:31,842 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:04:31,843 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:05:04,293 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:05:04,295 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:05:04,303 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:05:04,304 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:05:17,588 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:05:17,589 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-01-04 16:05:17,591 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-04 16:05:17,592 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Drive_Work\Workspaces\studyhub\cxf-client\src\test\resources
2016-01-04 16:05:40,489 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
